POI-Scenic-List v1.3 update by 2020-06-05 Attribution: heweather.com,,,,,,,,,,,,
POI_ID,POI_Name_EN,景区名称,POI_Latitude,POI_Longitude,Country_code,Country_EN,国家名称,Location_ID,Adm1_EN,一级行政区划(Adm1),Adm2_EN,二级行政区划(Adm2)
10109020903A,Laiyuan Baishi Mountain National Geopark,涞源白石山国家地质公园,39.22,114.7,CN,China,中国,101090209,Hebei,河北,Baoding,保定
10122030102A,Tianmen Mountain Scenic Attraction,天门山景区,31.49,118.37,CN,China,中国,101220301,Anhui,安徽,Wuhu,芜湖
10122090401A,Xuefeng Park,雪枫公园,33.33,116.7,CN,China,中国,101220904,Anhui,安徽,Bozhou,亳州
10125010101A,Changsha Underwater World,长沙海底世界,28.23,113.05,CN,China,中国,101250101,Hunan,湖南,Changsha,长沙
10101090004A,Beijing Beigong National Forest Park,北宫森林公园,39.86,116.12,CN,China,中国,101010900,Beijing,北京,Beijing,北京
10104010003A,Kwan-yin Bridge,观音桥,29.57,106.5,CN,China,中国,101040100,Chongqing,重庆,Chongqing,重庆
10118110101A,Yuanrong Temple,圆融寺,35.27,113.23,CN,China,中国,101181101,Henan,河南,Jiaozuo,焦作
10120020102A,Phenix Hot Spring,凤凰温泉,32,111.99,CN,China,中国,101200201,Hubei,湖北,Xiangyang,襄阳
10103010020A,South Gate of Tianjin Ancient Culture Street,古文化街旅游区南门,39.14,117.2,CN,China,中国,101030100,Tianjin,天津,Tianjin,天津
10116010103A,Wuquan Mountain Park,五泉山公园,36.03,103.82,CN,China,中国,101160101,Gansu,甘肃,Lanzhou,兰州
10120110701A,Wudang Mountain,武当山,32.5,111.09,CN,China,中国,101201107,Hubei,湖北,Shiyan,十堰
10128020601A,Danxia Mountain Scenic Attraction,丹霞山风景名胜区,25.03,113.73,CN,China,中国,101280206,Guangdong,广东,Shaoguan,韶关
10121040103A,Baoguo Temple,保国寺,29.97,121.52,CN,China,中国,101210401,Zhejiang,浙江,Ningbo,宁波
10124060301A,Ancient Village of Yanfang,燕坊古村,27.21,115.07,CN,China,中国,101240603,Jiangxi,江西,Jian,吉安
10128100103A,Blue Moon Bay Hot Spring Resort,蓝月湾温泉度假邨,21.21,110.42,CN,China,中国,101281001,Guangdong,广东,Zhanjiang,湛江
10122100113A,Tangmo Scenic Attraction,唐模风景区,29.86,118.32,CN,China,中国,101221001,Anhui,安徽,Huangshan,黄山
10130110103A,Former Residence of Liu Yongfu,刘永福旧居,21.94,108.62,CN,China,中国,101301101,Guangxi,广西,Qinzhou,钦州
10101090009A,Beijing Taoranting Park,陶然亭公园,39.87,116.38,CN,China,中国,101010900,Beijing,北京,Beijing,北京
10120050401A,Eastern Gate of Bodao Peak Scenic Spot,薄刀峰风景区东门,31.11,115.6,CN,China,中国,101200504,Hubei,湖北,Huanggang,黄冈
10107140401A,Dragon Bay Seashore Ski Resort,龙湾海滨滑雪场,40.66,120.81,CN,China,中国,101071404,Liaoning,辽宁,Huludao,葫芦岛
10109020301A,Revolution Memorial Hall of Jinchaji Region,晋察冀边区革命纪念馆,38.73,114.2,CN,China,中国,101090203,Hebei,河北,Baoding,保定
10107110102A,Memorial Hall of Zhou Enlai’s Junior School,周恩来少年读书旧址纪念馆,42.3,123.85,CN,China,中国,101071101,Liaoning,辽宁,Tieling,铁岭
10125140301A,Shunhuang Mountain National Forest Park of Dong’an,东安舜皇山国家森林公园,26.39,111.04,CN,China,中国,101251403,Hunan,湖南,Yongzhou,永州
10104340002A,Ancient Town of Longtan,龙潭古镇,28.75,108.96,CN,China,中国,101043400,Chongqing,重庆,Chongqing,重庆
10130030601A,Danzhou Scenic Attraction,丹洲景区,25.37,109.44,CN,China,中国,101300306,Guangxi,广西,Liuzhou,柳州
10110050601A,Tianji Mountain,天脊山,36.15,113.63,CN,China,中国,101100506,Shanxi,山西,Changzhi,长治
10123011001A,Changle Tourist Museum,长乐旅游馆,25.95,119.49,CN,China,中国,101230110,Fujian,福建,Fuzhou,福州
10120020103A,Ancient Longzhong,古隆中,31.99,112.03,CN,China,中国,101200201,Hubei,湖北,Xiangyang,襄阳
10102110002A,Mingzhu Lake Park,明珠湖公园,31.73,121.3,CN,China,中国,101021100,Shanghai,上海,Shanghai,上海
10121010103A,Hangzhou Polar Ocean Park,杭州极地海洋公园,30.14,120.22,CN,China,中国,101210101,Zhejiang,浙江,Hangzhou,杭州
10120130101A,Yulong Hot Spring Happy Valley,白龙池玉龙温泉欢乐谷,31.61,112.86,CN,China,中国,101201301,Hubei,湖北,Suizhou,随州
10125090701A,Lang Mountain Fengshen Cave Scenic Attraction,崀山天坑风神洞名胜风景区,26.7,111.12,CN,China,中国,101250907,Hunan,湖南,Shaoyang,邵阳
10121060701A,Wenling Changyu Cave,温岭长屿硐天,28.43,121.44,CN,China,中国,101210607,Zhejiang,浙江,Taizhou,台州
10122150501A,Sinkhole of Yanzi River Gorge,燕子河大峡谷天坑仙境,31.24,115.89,CN,China,中国,101221505,Anhui,安徽,Liuan,六安
10112071003A,Confucius Six Arts City,孔子六艺城,35.58,116.99,CN,China,中国,101120710,Shandong,山东,Jining,济宁
10125020203A,Shaoshan Tourist Attraction,湘潭韶山旅游区,27.9,112.49,CN,China,中国,101250202,Hunan,湖南,Xiangtan,湘潭
10107060103A,Yalu River,鸭绿江,40.12,124.39,CN,China,中国,101070601,Liaoning,辽宁,Dandong,丹东
10121040105A,Phenix Valley Leisure & Tourist Zone,凤凰谷休闲旅游区,29.85,121.38,CN,China,中国,101210401,Zhejiang,浙江,Ningbo,宁波
10125060401A,Western Dongting Lake Wetland Ecotourism Area,西洞庭湖湿地生态旅游风景区,28.88,112.11,CN,China,中国,101250604,Hunan,湖南,Changde,常德
10128110302A,Diaolou Compound of Zili Village,自力村碉楼群,22.37,112.58,CN,China,中国,101281103,Guangdong,广东,Jiangmen,江门
10111060302A,Niubeiliang National Forest Park,牛背梁国家森林公园,33.8,109,CN,China,中国,101110603,Shaanxi,陕西,Shangluo,商洛
10127120101A,Antai Mountain Villa,安泰山庄,29.52,104.92,CN,China,中国,101271201,Sichuan,四川,Neijiang,内江
10111070101A,Xiangxi Cave Scenic Attraction,香溪洞风景区,32.66,109.03,CN,China,中国,101110701,Shaanxi,陕西,Ankang,安康
