POI-Air-Monitoring-Station-List-latest v2.0 update by 2020-06-03,,,,,,,,,,,,,,
POI_ID,POI_Name,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_CN,Location_ID,Location_Name_EN,Location_Name_CN,Adm2_EN,Adm2_CN,Adm1_EN,Adm1_CN
CNA1096,工大金川校区,40.7866,111.551,AirMonitoringStation,CN,China,中国,101080102,Tuzuoqi,土左旗,Huhehaote,呼和浩特市,Neimenggu,内蒙古自治区
CNA1097,化肥厂生活区,40.7612,111.717,AirMonitoringStation,CN,China,中国,101080106,Saihan,赛罕,Huhehaote,呼和浩特市,Neimenggu,内蒙古自治区
CNA1098,森林路,41.9339,123.6836,AirMonitoringStation,CN,China,中国,101070102,Hunnan,浑南,Shenyang,沈阳市,Liaoning,辽宁省
CNA1099,浑南东路,41.7561,123.535,AirMonitoringStation,CN,China,中国,101070102,Hunnan,浑南,Shenyang,沈阳市,Liaoning,辽宁省
CNA1100,新秀街,41.7089,123.439,AirMonitoringStation,CN,China,中国,101070102,Hunnan,浑南,Shenyang,沈阳市,Liaoning,辽宁省
CNA1102,东陵路,41.8336,123.542,AirMonitoringStation,CN,China,中国,101070108,Shenhe,沈河,Shenyang,沈阳市,Liaoning,辽宁省
CNA1103,陵东街,41.8472,123.428,AirMonitoringStation,CN,China,中国,101070110,Huanggu,皇姑,Shenyang,沈阳市,Liaoning,辽宁省
CNA1104,文化路,41.765,123.41,AirMonitoringStation,CN,China,中国,101070107,Heping,和平,Shenyang,沈阳市,Liaoning,辽宁省
CNA1105,小河沿,41.7775,123.478,AirMonitoringStation,CN,China,中国,101070108,Shenhe,沈河,Shenyang,沈阳市,Liaoning,辽宁省
CNA1106,太原街,41.7972,123.3997,AirMonitoringStation,CN,China,中国,101070107,Heping,和平,Shenyang,沈阳市,Liaoning,辽宁省
CNA1108,京沈街,41.9228,123.3783,AirMonitoringStation,CN,China,中国,101070113,Shenbeixinqu,沈北新区,Shenyang,沈阳市,Liaoning,辽宁省
CNA1109,甘井子,38.97388889,121.6119444,AirMonitoringStation,CN,China,中国,101070209,Xigang,西岗,Dalian,大连市,Liaoning,辽宁省
CNA1110,周水子,38.95111111,121.565,AirMonitoringStation,CN,China,中国,101070211,Ganjingzi,甘井子,Dalian,大连市,Liaoning,辽宁省
CNA1111,星海三站,38.885,121.5638889,AirMonitoringStation,CN,China,中国,101070210,Shahekou,沙河口,Dalian,大连市,Liaoning,辽宁省
CNA1112,青泥洼桥,38.91194444,121.6330556,AirMonitoringStation,CN,China,中国,101070208,Zhongshan,中山,Dalian,大连市,Liaoning,辽宁省
CNA1113,傅家庄,38.86388889,121.625,AirMonitoringStation,CN,China,中国,101070209,Xigang,西岗,Dalian,大连市,Liaoning,辽宁省
CNA1114,七贤岭,38.85611111,121.5180556,AirMonitoringStation,CN,China,中国,101070211,Ganjingzi,甘井子,Dalian,大连市,Liaoning,辽宁省
CNA1115,旅顺,38.80805556,121.2588889,AirMonitoringStation,CN,China,中国,101070205,Lvshun,旅顺,Dalian,大连市,Liaoning,辽宁省
CNA1116,金州,39.1311,121.7481,AirMonitoringStation,CN,China,中国,101070203,Jinzhou,金州,Dalian,大连市,Liaoning,辽宁省
CNA1117,开发区,39.0511,121.7769,AirMonitoringStation,CN,China,中国,101070203,Jinzhou,金州,Dalian,大连市,Liaoning,辽宁省
CNA1118,双D港,39.0631,121.9769,AirMonitoringStation,CN,China,中国,101070203,Jinzhou,金州,Dalian,大连市,Liaoning,辽宁省
CNA1119,食品厂,43.9167,125.323,AirMonitoringStation,CN,China,中国,101060109,Kuancheng,宽城,Changchun,长春市,Jilin,吉林省
CNA1120,客车厂,43.91,125.287,AirMonitoringStation,CN,China,中国,101060109,Kuancheng,宽城,Changchun,长春市,Jilin,吉林省
CNA1121,邮电学院,43.84,125.2786,AirMonitoringStation,CN,China,中国,101060110,Chaoyang,朝阳,Changchun,长春市,Jilin,吉林省
CNA1122,劳动公园,43.8748,125.3649,AirMonitoringStation,CN,China,中国,101060107,Erdao,二道,Changchun,长春市,Jilin,吉林省
CNA1123,园林处,43.8694,125.325,AirMonitoringStation,CN,China,中国,101060108,Nanguan,南关,Changchun,长春市,Jilin,吉林省
CNA1124,净月潭,43.7878,125.454,AirMonitoringStation,CN,China,中国,101060107,Erdao,二道,Changchun,长春市,Jilin,吉林省
CNA1125,甩湾子,43.55,125.633,AirMonitoringStation,CN,China,中国,101060108,Nanguan,南关,Changchun,长春市,Jilin,吉林省
CNA1126,经开区环卫处,43.8667,125.417,AirMonitoringStation,CN,China,中国,101060107,Erdao,二道,Changchun,长春市,Jilin,吉林省
CNA1127,高新区管委会,43.8167,125.25,AirMonitoringStation,CN,China,中国,101060110,Chaoyang,朝阳,Changchun,长春市,Jilin,吉林省
CNA1128,岱山公园,43.85,125.217,AirMonitoringStation,CN,China,中国,101060110,Chaoyang,朝阳,Changchun,长春市,Jilin,吉林省
CNA1129,岭北(对照点),45.755,126.542,AirMonitoringStation,CN,China,中国,101050114,Daoli,道里,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1130,松北商大,45.8167,126.561,AirMonitoringStation,CN,China,中国,101050103,Hulan,呼兰,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1131,阿城会宁,45.5422,126.979,AirMonitoringStation,CN,China,中国,101050104,Acheng,阿城,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1132,南岗学府路,45.7222,126.599,AirMonitoringStation,CN,China,中国,101050114,Daoli,道里,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1133,太平宏伟公园,45.7733,126.689,AirMonitoringStation,CN,China,中国,101050115,Nangang,南岗,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1134,道外承德广场,45.7667,126.635,AirMonitoringStation,CN,China,中国,101050114,Daoli,道里,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1135,香坊红旗大街,45.7319,126.685,AirMonitoringStation,CN,China,中国,101050119,Xiangfang,香坊,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1136,动力和平路,45.7258,126.646,AirMonitoringStation,CN,China,中国,101050119,Xiangfang,香坊,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1137,道里建国路,45.7478,126.593,AirMonitoringStation,CN,China,中国,101050115,Nangang,南岗,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1138,平房东轻厂,45.61,126.615,AirMonitoringStation,CN,China,中国,101050117,Pingfang,平房,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
CNA1139,呼兰师专,45.9819,126.6106,AirMonitoringStation,CN,China,中国,101050103,Hulan,呼兰,Haerbin,哈尔滨市,Heilongjiang,黑龙江省
