POI-Port-List-latest v1.0 update by 2020-12-12,,,,,,,,,,,,,,
POI_ID,POI_Name_EN,POI_Name_ZH,POI_Latitude,POI_Longitude,POI_Type,Country_code,Country_EN,Country_ZH,Location_Name_EN,Location_Name_ZH,Adm2_EN,Adm2_ZH,Adm1_EN,Adm1_ZH
P2598,gaoxiong,高雄,22.6,120.28333,Port,CN,China,中国,Kaohsiung,高雄市,,,Taiwan,台湾
P2519,nanaodao(yunao),南澳岛,23.4,117.1,Port,CN,China,中国,Shantou,汕头,,,Guangdong,广东
P2822,chaozhou〖kg*2〗gang(sanbaimen),潮州港,23.6,116.96667,Port,CN,China,中国,Chaozhou,潮州,,,Guangdong,广东
P2781,haimen(guangdong),海门-广东,23.33333,116.73333,Port,CN,China,中国,Shantou,汕头,,,Guangdong,广东
P2558,jiazi,甲子,23.183332,116.61667,Port,CN,China,中国,Shanwei,汕尾,,,Guangdong,广东
P2364,shanwei,汕尾,22.81667,116.1,Port,CN,China,中国,Shanwei,汕尾,,,Guangdong,广东
P2646,mabianzhou(guangshihua),马鞭洲,22.76667,115.36667,Port,CN,China,中国,Shenzhen,深圳,,,Guangdong,广东
P2895,huizhougang,惠州港,22.66667,114.65,Port,CN,China,中国,Huizhou,惠州,,,Guangdong,广东
P2962,dayawan,大亚湾,22.695,114.565,Port,CN,China,中国,Shenzhen,深圳,,,Guangdong,广东
P2627,dapengwan(yantiangang),大鹏湾,22.59167,114.53417,Port,CN,China,中国,Shenzhen,深圳,,,Guangdong,广东
P2260,xianggang,香港,22.58833,114.27833,Port,CN,China,中国,Hongkong,香港,,,Hongkong,香港
P2236,shekou(chiwan),蛇口,22.3,114.16667,Port,CN,China,中国,Shenzhen,深圳,,,Guangdong,广东
P2799,guishandao,桂山岛,22.45,113.88333,Port,CN,China,中国,Hongkong,香港,,,Hongkong,香港
P2792,neilingding,内伶仃岛,22.13333,113.81667,Port,CN,China,中国,Shenzhen,深圳,,,Guangdong,广东
